username,id,score,time,title,url,text,platform,vectorId,combined,n_tokens
timost,32421793,152,1660194394,Podman 4.2.0,https://github.com/containers/podman/releases/tag/v4.2.0,,Hacker News,87976703,Title: Podman 4.2.0; Content: ,13
beefman,32419873,173,1660174999,New study overturns 100-year-old understanding of color perception,https://discover.lanl.gov/news/0810-color-perception,"August 10, 2022 A new study correctsÂ an important error in the 3D mathematical space developed by the Nobel Prizeâwinning physicist Erwin SchrÃ¶dinger and others and used by scientists and industry for more than 100 years to describe how your eye distinguishes one color from another. The research has the potential to boost scientific data visualizations, improve TVs and recalibrate the textile and paint industries. âThe assumed shape of color space requires a paradigm shift,â said Roxana Bujack, a computer scientist with a background in mathematics who creates scientific visualizations at Los Alamos National Laboratory. Bujack is lead authorÂ of the   by a Los Alamos team in the Proceedings of the National Academy of Science on the mathematics of color perception. ""Our research show",Hacker News,85749603,"Title: New study overturns 100-year-old understanding of color perception; Content: August 10, 2022 A new study correctsÂ an important error in the 3D mathematical space developed by the Nobel Prizeâwinning physicist Erwin SchrÃ¶dinger and others and used by scientists and industry for more than 100 years to describe how your eye distinguishes one color from another. The research has the potential to boost scientific data visualizations, improve TVs and recalibrate the textile and paint industries. âThe assumed shape of color space requires a paradigm shift,â said Roxana Bujack, a computer scientist with a background in mathematics who creates scientific visualizations at Los Alamos National Laboratory. Bujack is lead authorÂ of the   by a Los Alamos team in the Proceedings of the National Academy of Science on the mathematics of color perception. ""Our research show",190
iosystem,32423556,43,1660211897,General belief in a just world is associated with dishonest behavior (2017),https://www.frontiersin.org/articles/10.3389/fpsyg.2017.01770/full,"The editor and reviewer's affiliations are the latest provided on their Loop research profiles and may not reflect their situation at the time of review. According to the just-world theory, people need to – or rather want to – believe that they live in a just world where they will receive what they earn and consequently earn what they receive. In the present work, we examined the influence of people’s general and personal beliefs in a just world (BJW) on their (dis)honest behavior. Given that general BJW was found to be linked to antisocial tendencies, we expected stronger general BJW to be linked to more dishonesty. Given that personal BJW was found to be correlated with trust and justice striving, a negative link with dishonesty could be assumed. In one study (  = 501), we applied a comm",Hacker News,48281665,"Title: General belief in a just world is associated with dishonest behavior (2017); Content: The editor and reviewer's affiliations are the latest provided on their Loop research profiles and may not reflect their situation at the time of review. According to the just-world theory, people need to – or rather want to – believe that they live in a just world where they will receive what they earn and consequently earn what they receive. In the present work, we examined the influence of people’s general and personal beliefs in a just world (BJW) on their (dis)honest behavior. Given that general BJW was found to be linked to antisocial tendencies, we expected stronger general BJW to be linked to more dishonesty. Given that personal BJW was found to be correlated with trust and justice striving, a negative link with dishonesty could be assumed. In one study (  = 501), we applied a comm",188
pabs3,32422505,88,1660202187,"Give nothing, expect nothing: Gitlab latest punching bag for entitled users",https://dissociatedpress.net/2022/08/10/give-nothing-expect-nothing-gitlabs-the-latest-punching-bag-for-entitled-users/,"What do Docker, GitLab, and Red Hat have in common? Aside from various levels of participation in open source, they’ve all been punching bags over the past few years for non-paying users angry that they’ve taken some freebies off the table. When Docker had the temerity to introduce limits for free users pulling containers from DockerHub, or requiring a  , lots of people started complaining and/or looking for a free alternative. When CentOS moved from a direct clone of RHEL 8 to the CentOS Stream model, hordes of people raised virtual torches and pitchforks because they were no longer able to run a freebie RHEL clone. Many noted that this was   because of the uncertainty and having to either pay up or move to another RHEL clone. Few seemed to note that it’s   when people don’t pay for its f",Hacker News,51081044,"Title: Give nothing, expect nothing: Gitlab latest punching bag for entitled users; Content: What do Docker, GitLab, and Red Hat have in common? Aside from various levels of participation in open source, they’ve all been punching bags over the past few years for non-paying users angry that they’ve taken some freebies off the table. When Docker had the temerity to introduce limits for free users pulling containers from DockerHub, or requiring a  , lots of people started complaining and/or looking for a free alternative. When CentOS moved from a direct clone of RHEL 8 to the CentOS Stream model, hordes of people raised virtual torches and pitchforks because they were no longer able to run a freebie RHEL clone. Many noted that this was   because of the uncertainty and having to either pay up or move to another RHEL clone. Few seemed to note that it’s   when people don’t pay for its f",200
doener,32395587,32,1660034928,The Cluetrain Manifesto (1999),https://www.cluetrain.com/,"
 These markets are conversations. Their members communicate in
    language that is natural, open, honest, direct, funny and
    often shocking. Whether explaining or complaining, joking or
    serious, the human voice is unmistakably genuine. It can't be
    faked.   
 Most corporations, on the other hand, only know how to
    talk in the soothing, humorless monotone of the mission
    statement, marketing brochure, and
    your-call-is-important-to-us busy signal. Same old tone, same
    old lies. No wonder networked markets have no respect for
    companies unable or unwilling to speak as they do. 
 But learning to speak in a human voice is not some trick,
    nor will corporations convince us they are human with lip
    service about ""listening to customers."" They will
    only sound ",Hacker News,86636626,"Title: The Cluetrain Manifesto (1999); Content: 
 These markets are conversations. Their members communicate in
    language that is natural, open, honest, direct, funny and
    often shocking. Whether explaining or complaining, joking or
    serious, the human voice is unmistakably genuine. It can't be
    faked.   
 Most corporations, on the other hand, only know how to
    talk in the soothing, humorless monotone of the mission
    statement, marketing brochure, and
    your-call-is-important-to-us busy signal. Same old tone, same
    old lies. No wonder networked markets have no respect for
    companies unable or unwilling to speak as they do. 
 But learning to speak in a human voice is not some trick,
    nor will corporations convince us they are human with lip
    service about ""listening to customers."" They will
    only sound ",228
dmitryminkovsky,32417534,404,1660161290,The World Excel Championship is being broadcast on ESPN,https://www.ladbible.com/sport/world-excel-championship-that-is-getting-national-tv-coverage-20220809,"To make sure you never miss out on your favourite , we're happy to send you some reminders Click ' ' then ' ' to enable notifications There are so many sports around the world at the moment and they all bring atmosphere, thrills, spills, heartache, determination and adrenaline (in some way, shape or form).  But we're here to present to you one hell of an exciting new adventure: Excel Esports. Thatâs right, a whole sport dedicated to âVLOOKUPâ, âCOUNTIFâ, and âSUMIFâ. Weâve officially peaked as a society. The sport has been set up by the Financial Modeling World Cup, with their most recent event the âALL-STAR BATTLEâ jam-packed with commentators and analysis. And if you thought your Microsoft Excel skills were among the best, well, weâve got some news for you. These la",Hacker News,11788585,"Title: The World Excel Championship is being broadcast on ESPN; Content: To make sure you never miss out on your favourite , we're happy to send you some reminders Click ' ' then ' ' to enable notifications There are so many sports around the world at the moment and they all bring atmosphere, thrills, spills, heartache, determination and adrenaline (in some way, shape or form).  But we're here to present to you one hell of an exciting new adventure: Excel Esports. Thatâs right, a whole sport dedicated to âVLOOKUPâ, âCOUNTIFâ, and âSUMIFâ. Weâve officially peaked as a society. The sport has been set up by the Financial Modeling World Cup, with their most recent event the âALL-STAR BATTLEâ jam-packed with commentators and analysis. And if you thought your Microsoft Excel skills were among the best, well, weâve got some news for you. These la",246
tmikaeld,32423291,4,1660209351,Open Cybersecurity Schema Framework,https://github.com/ocsf,"The Open Cybersecurity Schema Framework is an open-source project, delivering an extensible framework for developing schemas, along with a vendor-agnostic core security schema.  Vendors and other data producers can adopt and extend the schema for their specific domains. Data engineers can map differing schemas to help security teams simplify data ingestion and normalization, so that data scientists and analysts can work with a common language for threat detection and investigation. The goal is to provide an open standard, adopted in any environment, application, or solution, while complementing existing security standards and processes. The framework is made up of a set of data types, an attribute dictionary, and the taxonomy. It is not restricted to the cybersecurity domain nor to events,",Hacker News,14060534,"Title: Open Cybersecurity Schema Framework; Content: The Open Cybersecurity Schema Framework is an open-source project, delivering an extensible framework for developing schemas, along with a vendor-agnostic core security schema.  Vendors and other data producers can adopt and extend the schema for their specific domains. Data engineers can map differing schemas to help security teams simplify data ingestion and normalization, so that data scientists and analysts can work with a common language for threat detection and investigation. The goal is to provide an open standard, adopted in any environment, application, or solution, while complementing existing security standards and processes. The framework is made up of a set of data types, an attribute dictionary, and the taxonomy. It is not restricted to the cybersecurity domain nor to events,",161
ibobev,32411141,55,1660136278,Descriptors Are Hard,https://www.jlekstrand.net/jason/blog/2022/08/descriptors-are-hard/,"Over the weekend, I   if people would be interested in a rant about descriptor sets. As of the writing of this post, it has 46 likes so Iâll count that as a yes. I kind-of hate descriptor setsâ¦ Well, not descriptor sets per se. More descriptor set layouts. The fundamental problem, I think, was that we too closely tied memory layout to the shader interface. The Vulkan model works ok if your objective is to implement GL on top of Vulkan. You want 32 textures, 16 images, 24 UBOs, etc. and everything in your engine fits into those limits. As long as theyâre always separate bindings in the shader, it works fine. It also works fine if you attempt to implement HLSL SM6.6 bindless on top of it. Have one giant descriptor set with all resources ever in giant arrays and pass indices into the sh",Hacker News,32452879,"Title: Descriptors Are Hard; Content: Over the weekend, I   if people would be interested in a rant about descriptor sets. As of the writing of this post, it has 46 likes so Iâll count that as a yes. I kind-of hate descriptor setsâ¦ Well, not descriptor sets per se. More descriptor set layouts. The fundamental problem, I think, was that we too closely tied memory layout to the shader interface. The Vulkan model works ok if your objective is to implement GL on top of Vulkan. You want 32 textures, 16 images, 24 UBOs, etc. and everything in your engine fits into those limits. As long as theyâre always separate bindings in the shader, it works fine. It also works fine if you attempt to implement HLSL SM6.6 bindless on top of it. Have one giant descriptor set with all resources ever in giant arrays and pass indices into the sh",204
sohkamyung,32423632,16,1660212674,Backyard hens’ eggs contain 40 times more lead on average than shop eggs,https://theconversation.com/backyard-hens-eggs-contain-40-times-more-lead-on-average-than-shop-eggs-research-finds-187442,"
      Chief Environmental Scientist, EPA Victoria; Honorary Professor, Macquarie University
     
      Professor, Research School of Earth Sciences, Australian National University
     
      Professor, School of Natural Sciences, Macquarie University
      and   provide funding as members of The Conversation AU. There’s nothing like the fresh eggs from your own hens, the   Australians who keep backyard chooks will tell you. Unfortunately, it’s often not just freshness and flavour that set their eggs apart from those in the shops.  Our   found backyard hens’ eggs contain, on average, more than 40 times the lead levels of commercially produced eggs. Almost one in two hens in our Sydney study had significant lead levels in their blood. Similarly, about half the eggs analysed contained lead",Hacker News,21319286,"Title: Backyard hens’ eggs contain 40 times more lead on average than shop eggs; Content: 
      Chief Environmental Scientist, EPA Victoria; Honorary Professor, Macquarie University
     
      Professor, Research School of Earth Sciences, Australian National University
     
      Professor, School of Natural Sciences, Macquarie University
      and   provide funding as members of The Conversation AU. There’s nothing like the fresh eggs from your own hens, the   Australians who keep backyard chooks will tell you. Unfortunately, it’s often not just freshness and flavour that set their eggs apart from those in the shops.  Our   found backyard hens’ eggs contain, on average, more than 40 times the lead levels of commercially produced eggs. Almost one in two hens in our Sydney study had significant lead levels in their blood. Similarly, about half the eggs analysed contained lead",215
koinedad,32422374,58,1660200905,How to learn hard things in tech,https://technicallychallenged.substack.com/p/how-to-learn-hard-things-in-tech,"So when learning technologies, software, and new tools how do I push through to the end? Here are some steps that I’ve found that work pretty well for me: If you keep doing this enough times eventually you will have accomplished the task, you will have learned the hard thing. I bet you will know the technology a lot more than you did before you started. This is basically the approach I took to learn computer programming with no formal Computer Science classes or coding bootcamp, and this is still how I learn new technologies daily. A quick note about the order of the steps: I used to start with #3 because it’s usually easier and sometimes faster. But more recently I have been forcing myself to start with only the documentation (#1 and #2) and see how far I can get before I get stuck. It’s ",Hacker News,89865816,"Title: How to learn hard things in tech; Content: So when learning technologies, software, and new tools how do I push through to the end? Here are some steps that I’ve found that work pretty well for me: If you keep doing this enough times eventually you will have accomplished the task, you will have learned the hard thing. I bet you will know the technology a lot more than you did before you started. This is basically the approach I took to learn computer programming with no formal Computer Science classes or coding bootcamp, and this is still how I learn new technologies daily. A quick note about the order of the steps: I used to start with #3 because it’s usually easier and sometimes faster. But more recently I have been forcing myself to start with only the documentation (#1 and #2) and see how far I can get before I get stuck. It’s ",186
obert,32420082,37,1660176941,Robotic swimming in curved space via geometric phase,https://www.pnas.org/doi/full/10.1073/pnas.2200924119,,Hacker News,59082190,Title: Robotic swimming in curved space via geometric phase; Content: ,15
merwanedr,32384870,51,1659963542,Terminal Latency (2017),https://danluu.com/term-latency/,"There’s  . If you don’t want to watch the three minute video, they basically created a device which could simulate arbitrary latencies down to a fraction of a millisecond. At 100ms (1/10th of a second), which is typical of consumer tablets, the experience is terrible. At 10ms (1/100th of a second), the latency is noticeable, but the experience is ok, and at < 1ms the experience is great, as good as pen and paper. If you want to see a mini version of this for yourself, you can try a random Android tablet with a stylus vs. the current generation iPad Pro with the Apple stylus. The Apple device has well above 10ms end-to-end latency, but the difference is still quite dramatic -- it’s enough that I’ll actually use the new iPad Pro to take notes or draw diagrams, whereas I find Android tablets ",Hacker News,81684182,"Title: Terminal Latency (2017); Content: There’s  . If you don’t want to watch the three minute video, they basically created a device which could simulate arbitrary latencies down to a fraction of a millisecond. At 100ms (1/10th of a second), which is typical of consumer tablets, the experience is terrible. At 10ms (1/100th of a second), the latency is noticeable, but the experience is ok, and at < 1ms the experience is great, as good as pen and paper. If you want to see a mini version of this for yourself, you can try a random Android tablet with a stylus vs. the current generation iPad Pro with the Apple stylus. The Apple device has well above 10ms end-to-end latency, but the difference is still quite dramatic -- it’s enough that I’ll actually use the new iPad Pro to take notes or draw diagrams, whereas I find Android tablets ",203
neutralino1,32413070,104,1660143410,Launch HN: Sematic (YC S22) – Open-source framework to build ML pipelines faster,,"Hi HN – I’m Emmanuel, founder of Sematic (<a href=""https:&#x2F;&#x2F;sematic.dev"" rel=""nofollow"">https:&#x2F;&#x2F;sematic.dev</a>). Sematic is an open-source framework to prototype and productionize end-to-end Machine Learning (ML) and Data Science (DS) pipelines in days instead of weeks or months. The idea is to do for ML development what Rails and Heroku did for web development.<p>I started my career searching for Supersymmetry and the Higgs boson on the Large Hadron Collider at CERN, then moved to industry. I spent the last four years building ML infrastructure at Cruise. In both academia and industry, I witnessed researchers, data scientists, and ML engineers spending an absurd share of their time building makeshift tooling, stitching up infrastructure, and battling obscure systems, instead of focusing on their core area of expertise: extracting insights and predictions from data.<p>This was painfully apparent at Cruise where the ML Platform team needed to grow linearly with the number of users to support and models to ship to the car. What should have just taken a click (e.g. retraining a model when world conditions change – COVID parklets, road construction sites, deployment to new cities) often required weeks of painstaking work. Existing tools for prototyping and productionizing ML&#x2F;DS models did not enable developers to become autonomous and tackle new projects instead of babysitting current ones.<p>For example, a widely adopted tool such as Kubeflow Pipelines requires users to learn an obscure Python API, package and deploy their code and dependencies by hand, and does not offer exhaustive tracking and visualization of artifacts beyond simple metadata.<p>In order to become autonomous, users needed a dead-simple way to iterate seamlessly between local and cloud environments (change code, validate locally, run at scale in the cloud, repeat) and visualize objects (metrics, plots, datasets, configs) in a UI. Strong guarantees around dependency packaging, traceability of artifact lineage, and reproducibility would have to be provided out-of-the-box.<p>Sematic lets ML&#x2F;DS developers build and run pipelines of arbitrary complexity with nothing more than minimalistic Python APIs. Business logic, dynamic pipeline graphs, configurations, resource requirements, etc. — all with only Python. We are bringing the lovable aspects of Jupyter Notebooks (iterative development, visualizations) to the actual pipeline.<p>How it works: Sematic resolves dynamic nested graphs of pipeline steps (simple Python functions) and intercepts all inputs and outputs of each step to type-check, serialize, version, and track them. Individual steps are orchestrated as Kubernetes jobs according to required resources (e.g. GPU, high-memory), and all tracking and visualization information is surfaced in a modern UI. Build assets (user code, third-party dependencies, drivers, static libraries) are packaged and shipped to remote workers at runtime, which enables a fast and seamless iterative development experience.<p>Sematic lets you achieve results much faster by not wasting time on packaging dependencies, foraging for output artifacts to visualize, investigating obscure failures in black-box container jobs, bookkeeping configurations, writing complex YAML templates to run multiple experiments, etc.<p>It can run on a local machine or be deployed to leverage cloud resources (e.g. GPUs, high-memory instances, map&#x2F;reduce clusters, etc.) with minimal external dependencies: Python, PostgreSQL, and Kubernetes.<p>Sematic is open-source and free to use locally or self-hosted in your own cloud. We will provide a SaaS offering to enable access to cloud resources without the hassle of maintaining a cloud deployment.
To get started, simply run `$ pip install sematic; sematic start`. Check us out at <a href=""https:&#x2F;&#x2F;sematic.dev"" rel=""nofollow"">https:&#x2F;&#x2F;sematic.dev</a>, star our Github repo, and join our Discord for updates, feature requests, and bug reports.<p>We would love to hear from everyone about your experience building reliable end-to-end ML training pipelines, and anything else you’d like to share in the comments!",Hacker News,42862101,"Title: Launch HN: Sematic (YC S22) – Open-source framework to build ML pipelines faster; Content: Hi HN – I’m Emmanuel, founder of Sematic (<a href=""https:&#x2F;&#x2F;sematic.dev"" rel=""nofollow"">https:&#x2F;&#x2F;sematic.dev</a>). Sematic is an open-source framework to prototype and productionize end-to-end Machine Learning (ML) and Data Science (DS) pipelines in days instead of weeks or months. The idea is to do for ML development what Rails and Heroku did for web development.<p>I started my career searching for Supersymmetry and the Higgs boson on the Large Hadron Collider at CERN, then moved to industry. I spent the last four years building ML infrastructure at Cruise. In both academia and industry, I witnessed researchers, data scientists, and ML engineers spending an absurd share of their time building makeshift tooling, stitching up infrastructure, and battling obscure systems, instead of focusing on their core area of expertise: extracting insights and predictions from data.<p>This was painfully apparent at Cruise where the ML Platform team needed to grow linearly with the number of users to support and models to ship to the car. What should have just taken a click (e.g. retraining a model when world conditions change – COVID parklets, road construction sites, deployment to new cities) often required weeks of painstaking work. Existing tools for prototyping and productionizing ML&#x2F;DS models did not enable developers to become autonomous and tackle new projects instead of babysitting current ones.<p>For example, a widely adopted tool such as Kubeflow Pipelines requires users to learn an obscure Python API, package and deploy their code and dependencies by hand, and does not offer exhaustive tracking and visualization of artifacts beyond simple metadata.<p>In order to become autonomous, users needed a dead-simple way to iterate seamlessly between local and cloud environments (change code, validate locally, run at scale in the cloud, repeat) and visualize objects (metrics, plots, datasets, configs) in a UI. Strong guarantees around dependency packaging, traceability of artifact lineage, and reproducibility would have to be provided out-of-the-box.<p>Sematic lets ML&#x2F;DS developers build and run pipelines of arbitrary complexity with nothing more than minimalistic Python APIs. Business logic, dynamic pipeline graphs, configurations, resource requirements, etc. — all with only Python. We are bringing the lovable aspects of Jupyter Notebooks (iterative development, visualizations) to the actual pipeline.<p>How it works: Sematic resolves dynamic nested graphs of pipeline steps (simple Python functions) and intercepts all inputs and outputs of each step to type-check, serialize, version, and track them. Individual steps are orchestrated as Kubernetes jobs according to required resources (e.g. GPU, high-memory), and all tracking and visualization information is surfaced in a modern UI. Build assets (user code, third-party dependencies, drivers, static libraries) are packaged and shipped to remote workers at runtime, which enables a fast and seamless iterative development experience.<p>Sematic lets you achieve results much faster by not wasting time on packaging dependencies, foraging for output artifacts to visualize, investigating obscure failures in black-box container jobs, bookkeeping configurations, writing complex YAML templates to run multiple experiments, etc.<p>It can run on a local machine or be deployed to leverage cloud resources (e.g. GPUs, high-memory instances, map&#x2F;reduce clusters, etc.) with minimal external dependencies: Python, PostgreSQL, and Kubernetes.<p>Sematic is open-source and free to use locally or self-hosted in your own cloud. We will provide a SaaS offering to enable access to cloud resources without the hassle of maintaining a cloud deployment.
To get started, simply run `$ pip install sematic; sematic start`. Check us out at <a href=""https:&#x2F;&#x2F;sematic.dev"" rel=""nofollow"">https:&#x2F;&#x2F;sematic.dev</a>, star our Github repo, and join our Discord for updates, feature requests, and bug reports.<p>We would love to hear from everyone about your experience building reliable end-to-end ML training pipelines, and anything else you’d like to share in the comments!",973
